"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2000;"Terrestre";"Court";0,0624172185430464;0,446853146853147;1,00698878343399;1,21262406947891;2,06903871177619
2001;"Terrestre";"Court";0,253095238095238;0,536764705882353;0,808823529411765;1,29259259259259;1,83519144144144
2002;"Terrestre";"Court";0,245055018786903;0,525255102040816;0,887578616352201;1,40756302521008;2,64862991618311
2003;"Terrestre";"Court";0,219834710743802;0,574195531871285;1;1,28019323671498;2,0798839687426
2004;"Terrestre";"Court";0,200069444444444;0,442528735632184;0,802489177489177;1,36572199730094;2,61609068627451
2005;"Terrestre";"Court";0,198745173745174;0,608618052014278;0,943396226415094;1,25657894736842;2,73285714285714
2006;"Terrestre";"Court";0,239343504392048;0,656853281853282;0,916666666666667;1,49542124542125;2,68828571428571
2007;"Terrestre";"Court";0;0,6375;0,970238095238095;1,55555555555556;2,77871381110584
2008;"Terrestre";"Court";0,00743243243243243;0,395833333333333;0,622796352583587;0,915336879432624;1,71619897959184
2009;"Terrestre";"Court";0,139857845817387;0,620689655172414;1,04040404040404;1,65217391304348;3,17986111111111
2010;"Terrestre";"Court";0,117647058823529;0,444444444444444;0,761904761904762;1,06349206349206;2,3
2011;"Terrestre";"Court";0,161919398907104;0,673461538461538;1,07579365079365;1,42942583732057;2,67755102040816
2012;"Terrestre";"Court";0,03625;0,307963709677419;0,555735930735931;0,932776162790698;1,68925052779733
2013;"Terrestre";"Court";0,0618686868686869;0,319471976932781;0,566239316239316;0,912863886703383;1,72263257575757
2014;"Terrestre";"Court";0,376059050064185;0,747093023255814;1,27777777777778;1,81652661064426;3,11037735849056
2015;"Terrestre";"Court";0,12;0,458571428571429;0,82;1,12403846153846;2,09895424836601
2016;"Terrestre";"Court";0,176679841897233;0,364285714285714;0,648648648648649;1,05555555555556;2,27083958020989
2017;"Terrestre";"Court";0,231666666666667;0,693430656934307;0,948717948717949;1,45161290322581;2,68333333333333
2018;"Terrestre";"Court";0,127380952380952;0,542134831460674;0,855851063829787;1,28660714285714;2,06290322580645
2019;"Terrestre";"Court";0,160214285714286;0,615384615384615;0,947916666666667;1,43939393939394;2,48235294117647
2020;"Terrestre";"Court";0;0,043040293040293;0,294117647058824;1,02;2
